neg,pos,neu,compound
0.0,0.0,1.0,0.0
0.0,0.714,0.286,0.8176
0.0,0.0,1.0,0.0
0.0,0.39,0.61,0.4939
0.0,0.0,1.0,0.0
0.0,0.702,0.298,0.7943
0.0,0.0,1.0,0.0
0.395,0.0,0.605,-0.5046
0.0,0.425,0.575,0.5719
0.0,0.444,0.556,0.6114
0.0,0.0,1.0,0.0
0.254,0.322,0.424,0.2023
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.394,0.606,0.3818
0.0,0.481,0.519,0.5719
0.0,0.432,0.568,0.5859
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.367,0.0,0.633,-0.4404
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.638,0.0,0.362,-0.6476
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.524,0.0,0.476,-0.296
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.423,0.0,0.577,-0.296
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.557,0.443,0.7424
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.34,0.66,0.5574
0.0,0.286,0.714,0.34
0.0,0.0,1.0,0.0
0.0,0.333,0.667,0.5423
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.481,0.519,0.5719
0.0,0.538,0.462,0.5423
0.0,0.5,0.5,0.4588
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.467,0.533,0.5423
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.773,0.227,0.7783
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.667,0.333,0.7184
0.0,0.0,1.0,0.0
0.0,0.444,0.556,0.4939
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.313,0.0,0.687,-0.2075
0.245,0.42,0.335,0.3744
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.385,0.615,0.3612
0.0,0.455,0.545,0.3612
0.355,0.0,0.645,-0.296
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
